
Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Ashraf Amaya\amayaas01,1996,1997,F,6-8,230,November 23 1971,Southern Illinois
Al-Farouq Aminu\aminual01,2011,2020,F,6-8,220,September 21 1990,Wake Forest
Lou Amundson\amundlo01,2007,2016,F-C,6-9,220,December 7 1982,UNLV
Bob Anderegg\anderbo01,1960,1960,F-G,6-3,200,August 24 1937,Michigan State
Chris Andersen\anderch01,2002,2017,C-F,6-10,245,July 7 1978,Blinn College
David Andersen\anderda03,2010,2011,C,6-11,245,June 23 1980,
Alan Anderson\anderal01,2006,2017,G-F,6-6,220,October 16 1982,Michigan State
Andrew Anderson\anderan01,1968,1970,G,6-2,184,July 6 1945,Canisius
Antonio Anderson\anderan02,2010,2010,G,6-6,215,June 5 1985,Memphis
Cliff Anderson\andercl01,1968,1971,G-F,6-2,200,September 7 1944,Saint Joseph's
Dan Anderson\anderda01,1968,1969,C,6-10,230,February 15 1943,Augsburg College
Dan Anderson\anderda02,1975,1976,G,6-2,185,January 1 1951,USC
Derek Anderson\anderde01,1998,2008,G,6-5,194,July 18 1974,Ohio State Kentucky
Dwight Anderson\anderdw01,1983,1983,G,6-3,185,December 28 1960,Kentucky USC
Eric Anderson\anderer01,1993,1994,F,6-9,220,May 26 1970,Indiana
Greg Anderson\andergr01,1988,1998,F-C,6-10,230,June 22 1964,Houston
J.J. Anderson\anderjj01,1983,1985,F,6-8,195,September 23 1960,Bradley
James Anderson\anderja01,2011,2016,G-F,6-6,213,March 25 1989,Oklahoma State
Jerome Anderson\anderje01,1976,1977,G,6-5,195,October 9 1953,West Virginia
Justin Anderson\anderju01,2016,2019,G,6-6,230,November 19 1993,Virginia
Kenny Anderson\anderke01,1992,2005,G,6-0,168,October 9 1970,Georgia Tech
Kim Anderson\anderki01,1979,1979,F,6-7,200,May 12 1955,Missouri
Kyle Anderson\anderky01,2015,2020,F-G,6-9,230,September 20 1993,UCLA
Michael Anderson\andermi01,1989,1989,G,5-11,184,March 23 1966,Drexel
Nick Anderson\anderni01,1990,2002,F-G,6-6,205,January 20 1968,Illinois
Richard Anderson\anderri01,1983,1990,F-C,6-10,240,November 19 1960,UC Santa Barbara
Ron Anderson\anderro01,1985,1994,F-G,6-7,215,October 15 1958,Fresno State
Ryan Anderson\anderry01,2009,2020,F,6-9,240,May 6 1988,California
Shandon Anderson\andersh01,1997,2006,F-G,6-6,208,December 31 1973,Georgia
Willie Anderson\anderwi01,1989,1997,G-F,6-7,190,January 8 1967,Georgia
Wally Anderzunas\anderwa01,1970,1970,C-F,6-7,220,January 11 1946,Creighton
Martynas Andriuškevičius\andrima01,2006,2006,C,7-2,240,March 12 1986,
Don Anielak\anieldo01,1955,1955,F,6-7,190,November 1 1930,Missouri State University
Ike Anigbogu\anigbik01,2018,2019,F-C,6-10,250,October 17 1998,UCLA
Michael Ansley\anslemi01,1990,1992,F,6-7,225,February 8 1967,Alabama
Chris Anstey\anstech01,1998,2000,C,7-0,249,January 1 1975,
Giannis Antetokounmpo\antetgi01,2014,2020,F-G,6-11,242,December 6 1994,
Kostas Antetokounmpo\antetko01,2019,2020,F,6-10,200,November 20 1997,Dayton
Thanasis Antetokounmpo\antetth01,2016,2020,F,6-6,205,July 18 1992,
Carmelo Anthony\anthoca01,2004,2020,F,6-8,240,May 29 1984,Syracuse
Greg Anthony\anthogr01,1992,2002,G,6-0,176,November 15 1967,University of Portland UNLV
Joel Anthony\anthojo01,2008,2017,C,6-9,245,August 9 1982,UNLV
Pero Antić\anticpe01,2014,2015,C-F,6-11,260,July 29 1982,
OG Anunoby\anunoog01,2018,2020,F,6-7,232,July 17 1997,Indiana
Keith Appling\applike01,2016,2016,G,6-1,185,February 13 1992,Michigan State
Rafael Araújo\araujra01,2005,2007,C,6-11,280,August 12 1980,BYU
Stacey Arceneaux\arcenst01,1962,1962,F,6-4,210,February 17 1936,Iowa State
Robert Archibald\archiro01,2003,2004,F,6-11,250,March 29 1980,Illinois
Tiny Archibald\architi01,1971,1984,G,6-1,150,September 2 1948,Texas-El Paso
Ryan Arcidiacono\arcidry01,2018,2020,G,6-3,195,March 26 1994,Villanova
Jim Ard\ardji01,1971,1978,F-C,6-8,215,September 19 1948,Cincinnati
Gilbert Arenas\arenagi01,2002,2012,G,6-3,191,January 6 1982,Arizona
Trevor Ariza\arizatr01,2005,2020,F,6-8,215,June 30 1985,UCLA
Paul Arizin\arizipa01,1951,1962,F-G,6-4,190,April 9 1928,Villanova
Joe Arlauckas\arlaujo01,1988,1988,F,6-9,230,July 20 1965,Niagara University
B.J. Armstrong\armstbj01,1990,2000,G,6-2,175,September 9 1967,Iowa
Bob Armstrong\armstbo01,1957,1957,C-F,6-8,220,June 17 1933,Michigan State
