
Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Jim Nolan\nolanji01,1950,1950,C,6-8,210,June 9 1927,Georgia Tech
Paul Nolen\nolenpa01,1954,1954,C,6-10,,September 3 1929,Texas Tech
Jeff Nordgaard\nordgje01,1998,1998,F,6-7,225,February 23 1973,Green Bay
Bevo Nordmann\nordmbe01,1962,1965,C,6-10,225,December 11 1939,Saint Louis
Johnny Norlander\norlajo01,1947,1951,F,6-3,180,March 5 1921,Hamline University
Connie Norman\normaco01,1975,1979,G,6-3,175,September 24 1953,Arizona
Ken Norman\normake01,1988,1997,F,6-8,215,September 5 1964,Illinois
Audie Norris\norriau01,1983,1985,C,6-9,230,December 18 1960,Jackson State University
Moochie Norris\norrimo01,1997,2006,G,6-1,175,July 27 1973,Auburn University of West Florida
Sylvester Norris\norrisy01,1980,1980,C,6-11,220,February 18 1957,Jackson State University
Zach Norvell\norveza01,2020,2020,G,6-5,206,December 9 1997,Gonzaga
Willie Norwood\norwowi01,1972,1978,F,6-7,220,August 8 1947,Alcorn State University
George Nostrand\nostrge01,1947,1950,C-F,6-8,195,January 25 1924,Wyoming
Stan Noszka\noszkst01,1947,1949,G,6-1,185,September 9 1920,Duquesne
Mike Novak\novakmi01,1949,1954,C-F,6-9,219,April 23 1915,Loyola Chicago
Steve Novak\novakst01,2007,2017,F,6-10,225,June 13 1983,Marquette
Jaylen Nowell\nowelja01,2020,2020,G,6-4,196,July 9 1999,Washington
Mel Nowell\nowelme01,1963,1968,G,6-2,170,December 27 1939,Ohio State
Dirk Nowitzki\nowitdi01,1999,2019,F,7-0,245,June 19 1978,
Frank Ntilikina\ntilila01,2018,2020,G,6-4,190,July 28 1998,
Kendrick Nunn\nunnke01,2020,2020,G,6-2,190,August 3 1995,Illinois Oakland
James Nunnally\nunnaja01,2014,2019,F,6-7,208,July 14 1990,UC Santa Barbara
Jusuf Nurkić\nurkiju01,2015,2019,C,7-0,280,August 23 1994,
Dennis Nutt\nuttde01,1987,1987,G,6-2,170,March 25 1963,TCU
David Nwaba\nwabada01,2017,2020,G,6-5,219,January 14 1993,Cal Poly
Julius Nwosu\nwosuju01,1995,1995,C,6-10,255,May 1 1971,Liberty
